State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9004,David W. Olson,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9005,John J. Quinn,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9006,Christopher Reffkin,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9001,Paula Cole,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9002,Ken Liss,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9003,Kirk R Spencer,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9901,WRITE-IN,,,WI,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9001,Ben Phillip,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9002,Eric Sonnenberg,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9003,Cassandra Palmer,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9004,Laurel Hood,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9001,C. Colin Cox,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9002,Virginia Mancini,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9003,Saul Eugene,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9004,Celia Anderson,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9005,Taylor Williams,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9901,WRITE-IN,,,WI,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9001,Paras Bhende,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9002,Dan Ginestra,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9003,Alex Rudich,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9004,Sheila Prior,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9005,Mariam T. Siddiqui,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9006,Valentina Eyres,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9901,WRITE-IN,,,WI,0,10,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #286),0286,9001,Janelle Collier,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #286),0286,9002,Mary O'Connor,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #286),0286,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #306),0306,9001,Kyle Sanders,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #306),0306,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #319),0319,9001,Pam Brons,,,NP,0,5,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #319),0319,9002,William Hendricks,,,NP,0,5,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #319),0319,9901,WRITE-IN,,,WI,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #333),0333,9001,Josh Smith,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #333),0333,9002,Cory Schroeder,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #333),0333,9003,James Hanna,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #333),0333,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5002,School Board Member (ISD #333),0333,9001,Dan Wilder,,,NP,0,2,0,0.00,0
MN,,,5002,School Board Member (ISD #333),0333,9002,Jeremy Voss,,,NP,0,2,0,0.00,0
MN,,,5002,School Board Member (ISD #333),0333,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #361),0361,9001,Dale Johnson,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #361),0361,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #415),0415,9001,Matthew Hoekstra,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #415),0415,9002,Dennis Guza,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #415),0415,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #499),0499,9001,Amanda O'Byrne,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #499),0499,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5025,Special Election for School Board Member (ISD #499),0499,9001,Angie Olson,,,NP,0,1,0,0.00,0
MN,,,5025,Special Election for School Board Member (ISD #499),0499,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9001,Bill Kautt,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9002,Marty Duncan,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9003,Amanda Hird,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9004,Bill Weber,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9005,Tracy Stuewe,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9006,Rita Rassbach,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9007,Michael Spear,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9008,Krystal Loula,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9009,Ken Rossow,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #508) (Elect 4),0508,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #518),0518,9001,Matthew Widboom,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #518),0518,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #600),0600,9001,Ceara Solheim,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #600),0600,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9001,Alissa Daire Nelson,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9002,Heidi Caccamo,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9003,Heidi Danielson,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9004,Andre M. Koen,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9005,Jonathan Weinhagen,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9006,Jim DeMay,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9007,Rich Priore,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9008,Jon VanOeveren,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9009,Paul Wikstrom,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9010,Mark Kelliher,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9011,Art Mills,,,NP,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #621) (Elect 4),0621,9901,WRITE-IN,,,WI,0,27,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9001,Adam Maier,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9002,Karl Crump,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9003,Rose Wan-Mui Chu,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9004,Mike Boguszewski,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9005,Alan Holasek,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9006,Todd Anderson,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9007,Vaughn Klingenberg,,,NP,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #623) (Elect 3),0623,9901,WRITE-IN,,,WI,0,19,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9001,Carlo Franco,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9002,Abdi S. Omer,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9003,Chauntyll Allen,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9004,Gita Rijal Zeitler,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9005,Erica Valliant,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9006,Yusef Carrillo,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9007,Zuki Ellis,,,NP,0,86,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #625) (Elect 4),0625,9901,WRITE-IN,,,WI,0,86,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #707),0707,9001,Danelle Porter,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #707),0707,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #709),0709,9001,Alanna Oswald,,,NP,0,38,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #709),0709,9002,Stephanie Williams,,,NP,0,38,0,0.00,0
MN,,,5000,School Board Member at Large (ISD #709),0709,9901,WRITE-IN,,,WI,0,38,0,0.00,0
MN,,,5012,School Board Member District 2 (ISD #709),0709,9001,Sarah Mikesell,,,NP,0,8,0,0.00,0
MN,,,5012,School Board Member District 2 (ISD #709),0709,9901,WRITE-IN,,,WI,0,8,0,0.00,0
MN,,,5014,School Board Member District 3 (ISD #709),0709,9001,Henry L. Banks,,,NP,0,9,0,0.00,0
MN,,,5014,School Board Member District 3 (ISD #709),0709,9002,Loren Martell,,,NP,0,9,0,0.00,0
MN,,,5014,School Board Member District 3 (ISD #709),0709,9901,WRITE-IN,,,WI,0,9,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #712),0712,9001,Clay Krueger,,,NP,0,3,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #712),0712,9901,WRITE-IN,,,WI,0,3,0,0.00,0
MN,,,5000,School Board Member (ISD #738),0738,9001,Evelyn Martini,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #738),0738,9002,Nicole Burg,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #738),0738,9003,Robert E. Knettel Jr.,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #738),0738,9004,Lori Opatz,,,NP,0,2,0,0.00,0
