State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #186),0186,9002,NO,,,NP,1,3,127,53.81,236
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #186),0186,9001,YES,,,NP,1,3,91,38.56,236
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #186),0186,9002,NO,,,NP,1,3,145,61.44,236
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #192),0192,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #192),0192,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #194),0194,9001,YES,,,NP,0,20,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #194),0194,9002,NO,,,NP,0,20,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #194),0194,9001,YES,,,NP,0,20,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #194),0194,9002,NO,,,NP,0,20,0,0.00,0
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9001,Jackie Magnuson,,,NP,8,32,4710,15.60,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9002,Charles McCready,,,NP,8,32,204,0.68,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9003,Leah Gardner,,,NP,8,32,167,0.55,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9004,Cory Johnson,,,NP,8,32,4725,15.65,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9005,Gina Swaney,,,NP,8,32,124,0.41,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9006,Kim Bauer,,,NP,8,32,2753,9.12,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9007,Sachin Isaacs,,,NP,8,32,4662,15.45,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9008,Teressa Schlueter,,,NP,8,32,2515,8.33,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9009,Melissa Field,,,NP,8,32,2628,8.71,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9010,Anna Williams,,,NP,8,32,4548,15.07,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9011,Lori Urkiel,,,NP,8,32,2537,8.41,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9012,Craig Angrimson,,,NP,8,32,565,1.87,30184
MN,,,5000,School Board Member (ISD #196) (Elect 4),0196,9901,WRITE-IN,,,WI,8,32,46,0.15,30184
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #197),0197,9001,YES,,,NP,0,5,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #197),0197,9002,NO,,,NP,0,5,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #197),0197,9001,YES,,,NP,0,5,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #197),0197,9002,NO,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9001,Rowen Elsmore,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9002,Randi Walz,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9003,Morgan Steele,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9004,Tim Aune,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9005,Barbara Kessler,,,NP,0,5,0,0.00,0
MN,,,5000,School Board Member (ISD #197) (Elect 4),0197,9006,Byron L. Schwab,,,NP,0,5,0,0.00,0
